,stress_spike_pct,stress_cong_threshold,stress_cong_min_days,n_long,xlu_hedge,n_short,stress_day_pct,n_events,sharpe,ann_return,ann_vol,max_dd,hit_rate,sortino,stress_sharpe,calm_sharpe
99,0.99,0.3,3,5,False,5.0,71.2,324,0.002,0.0403,0.1393,-0.2076,0.475,0.003,0.004,-0.001
100,0.97,0.5,7,5,False,5.0,48.0,143,-0.0,0.04,0.1202,-0.1905,0.467,-0.0,0.21,-0.153
101,0.95,0.5,7,5,False,5.0,49.1,150,-0.002,0.0397,0.1209,-0.18,0.473,-0.003,0.252,-0.192
102,0.99,0.5,10,7,False,5.0,39.6,85,-0.002,0.0397,0.1211,-0.2339,0.466,-0.003,0.663,-0.358
103,0.97,0.5,10,7,False,5.0,41.6,101,-0.008,0.039,0.1189,-0.2204,0.468,-0.011,0.621,-0.352
104,0.99,0.5,7,7,False,3.0,45.9,127,-0.01,0.0388,0.129,-0.26,0.469,-0.013,0.445,-0.337
105,0.99,0.5,10,7,False,3.0,39.6,85,-0.011,0.0386,0.1263,-0.2602,0.467,-0.015,0.631,-0.371
106,0.97,0.5,7,7,False,3.0,48.0,143,-0.012,0.0385,0.1263,-0.2298,0.466,-0.016,0.125,-0.116
107,0.99,0.3,3,7,False,5.0,71.2,324,-0.014,0.038,0.1385,-0.2076,0.475,-0.018,-0.02,-0.001
108,0.97,0.5,7,3,False,5.0,48.0,143,-0.015,0.0381,0.1262,-0.2113,0.461,-0.021,0.157,-0.148
109,0.97,0.5,7,5,False,3.0,48.0,143,-0.015,0.038,0.1287,-0.2349,0.465,-0.021,0.106,-0.109
110,0.95,0.5,7,7,False,3.0,49.1,150,-0.016,0.038,0.1282,-0.2295,0.471,-0.021,0.224,-0.205
111,0.97,0.3,7,3,False,3.0,61.6,146,-0.018,0.0374,0.1434,-0.2375,0.481,-0.023,0.434,-0.767
112,0.97,0.5,7,3,False,3.0,48.0,143,-0.018,0.0376,0.1374,-0.2419,0.463,-0.024,0.163,-0.159
113,0.95,0.3,7,7,False,3.0,62.1,153,-0.019,0.0376,0.1274,-0.2046,0.483,-0.023,0.584,-0.831
114,0.99,0.5,3,3,False,3.0,58.1,326,-0.02,0.037,0.1504,-0.2321,0.473,-0.026,0.271,-0.423
115,0.99,0.3,3,5,False,3.0,71.2,324,-0.02,0.0372,0.1426,-0.2076,0.475,-0.025,-0.014,-0.034
116,0.97,0.5,10,3,False,5.0,41.6,101,-0.022,0.0372,0.1259,-0.2326,0.466,-0.03,0.696,-0.458
117,0.95,0.3,7,3,False,3.0,62.1,153,-0.024,0.0365,0.1447,-0.2046,0.485,-0.03,0.47,-0.845
118,0.99,0.5,10,5,False,5.0,39.6,85,-0.027,0.0367,0.1219,-0.2488,0.465,-0.037,0.672,-0.404
119,0.97,0.5,10,5,False,5.0,41.6,101,-0.032,0.0362,0.1198,-0.2215,0.466,-0.042,0.597,-0.379
120,0.99,0.3,3,7,False,3.0,71.2,324,-0.034,0.0353,0.1393,-0.2103,0.472,-0.042,-0.031,-0.039
121,0.97,0.3,7,7,False,3.0,61.6,146,-0.04,0.035,0.1264,-0.2375,0.479,-0.049,0.526,-0.794
122,0.95,0.3,7,5,False,3.0,62.1,153,-0.042,0.0345,0.1306,-0.2046,0.484,-0.052,0.507,-0.815
123,0.95,0.5,7,3,False,3.0,49.1,150,-0.045,0.0337,0.1392,-0.2657,0.466,-0.062,0.152,-0.21
124,0.95,0.5,10,7,False,5.0,42.9,108,-0.049,0.034,0.1213,-0.2937,0.475,-0.065,0.5,-0.364
125,0.95,0.5,10,5,False,5.0,42.9,108,-0.052,0.0336,0.122,-0.2937,0.474,-0.068,0.51,-0.377
126,0.99,0.5,3,5,False,3.0,58.1,326,-0.053,0.0326,0.1398,-0.2321,0.468,-0.069,0.269,-0.456
127,0.99,0.5,3,3,False,5.0,58.1,326,-0.054,0.0325,0.1383,-0.2321,0.471,-0.069,0.164,-0.325
128,0.95,0.3,7,5,False,5.0,62.1,153,-0.054,0.0331,0.1273,-0.2046,0.479,-0.067,0.482,-0.777
129,0.99,0.5,7,5,False,3.0,45.9,127,-0.06,0.0321,0.1323,-0.3006,0.469,-0.083,0.265,-0.302
130,0.99,0.3,7,3,False,5.0,60.4,130,-0.064,0.0314,0.1353,-0.267,0.484,-0.078,0.506,-0.867
131,0.95,0.5,7,5,False,3.0,49.1,150,-0.067,0.0313,0.1307,-0.2781,0.471,-0.091,0.028,-0.144
132,0.97,0.5,10,5,False,3.0,41.6,101,-0.068,0.0315,0.1256,-0.2776,0.473,-0.091,0.391,-0.329
133,0.99,0.5,3,5,False,5.0,58.1,326,-0.071,0.0305,0.1335,-0.2321,0.466,-0.09,0.213,-0.405
134,0.97,0.5,10,3,False,3.0,41.6,101,-0.073,0.0303,0.133,-0.2953,0.463,-0.098,0.591,-0.485
135,0.95,0.3,7,7,False,5.0,62.1,153,-0.079,0.03,0.1263,-0.2107,0.48,-0.096,0.447,-0.777
136,0.97,0.5,10,7,False,3.0,41.6,101,-0.084,0.0296,0.124,-0.287,0.468,-0.113,0.263,-0.284
137,0.99,0.3,3,3,False,5.0,71.2,324,-0.091,0.0266,0.1464,-0.2425,0.473,-0.115,-0.114,-0.039
138,0.95,0.5,7,3,False,5.0,49.1,150,-0.092,0.0283,0.1268,-0.2594,0.464,-0.125,0.145,-0.283
139,0.95,0.5,10,3,False,5.0,42.9,108,-0.095,0.0277,0.1292,-0.3447,0.467,-0.126,0.573,-0.519
140,0.97,0.3,7,5,False,5.0,61.6,146,-0.095,0.028,0.1262,-0.2375,0.475,-0.116,0.424,-0.787
141,0.99,0.5,7,3,False,3.0,45.9,127,-0.096,0.0264,0.1417,-0.3519,0.461,-0.134,0.329,-0.422
142,0.99,0.5,10,5,False,3.0,39.6,85,-0.097,0.0277,0.1274,-0.3302,0.473,-0.133,0.551,-0.458
143,0.95,0.5,10,5,False,3.0,42.9,108,-0.104,0.0269,0.1266,-0.3173,0.474,-0.139,0.453,-0.436
144,0.97,0.3,7,5,False,3.0,61.6,146,-0.106,0.0263,0.1295,-0.2443,0.479,-0.13,0.404,-0.814
145,0.99,0.5,7,3,False,5.0,45.9,127,-0.109,0.0261,0.127,-0.313,0.462,-0.15,0.456,-0.516
146,0.99,0.3,3,3,False,3.0,71.2,324,-0.12,0.0216,0.1535,-0.2838,0.471,-0.151,-0.118,-0.125
147,0.99,0.3,7,5,False,5.0,60.4,130,-0.12,0.0247,0.127,-0.2896,0.48,-0.146,0.428,-0.814
148,0.97,0.3,7,7,False,5.0,61.6,146,-0.12,0.025,0.1252,-0.2532,0.475,-0.146,0.388,-0.787
149,0.99,0.3,7,5,False,3.0,60.4,130,-0.122,0.0241,0.1306,-0.2821,0.483,-0.148,0.42,-0.839
150,0.99,0.5,10,3,False,5.0,39.6,85,-0.122,0.0246,0.1264,-0.326,0.468,-0.162,0.434,-0.431
151,0.99,0.5,10,3,False,3.0,39.6,85,-0.128,0.0229,0.1338,-0.3592,0.467,-0.174,0.565,-0.548
152,0.95,0.5,10,3,False,3.0,42.9,108,-0.146,0.0202,0.1361,-0.3594,0.467,-0.195,0.584,-0.627
153,0.99,0.3,7,7,False,5.0,60.4,130,-0.146,0.0217,0.126,-0.3124,0.48,-0.175,0.391,-0.814
154,0.95,0.5,10,7,False,3.0,42.9,108,-0.162,0.0198,0.1249,-0.3404,0.471,-0.216,0.251,-0.408
155,0.99,0.3,7,3,False,3.0,60.4,130,-0.175,0.0148,0.1439,-0.3369,0.482,-0.214,0.331,-0.965
156,0.99,0.3,7,7,False,3.0,60.4,130,-0.176,0.0176,0.1274,-0.3419,0.48,-0.215,0.349,-0.844
157,0.97,0.5,7,3,True,,48.0,143,-0.183,0.0161,0.1303,-0.3648,0.484,-0.228,0.435,-0.946
158,0.99,0.4,3,3,False,5.0,64.6,331,-0.194,0.0122,0.1434,-0.3056,0.464,-0.244,-0.219,-0.153
159,0.99,0.4,10,3,True,,48.0,93,-0.194,0.0145,0.1318,-0.3648,0.484,-0.242,0.065,-0.522
