name,type,window_start,window_end,context_start,context_end,iso_list,notes
ERCOT LMP Spike 2023-09-07,lmp_spike,2023-09-07,2023-09-09,2023-08-24,2023-09-23,['ERCOT'],Algo-detected: lmp_max ≥ 766 $/MWh
MISO Congestion 2023-09-14,congestion,2023-09-14,2023-09-24,2023-09-07,2023-10-01,['MISO'],Algo-detected: congestion_frac ≥ 30%
ERCOT Congestion 2023-09-22,congestion,2023-09-22,2023-11-03,2023-09-15,2023-11-10,['ERCOT'],Algo-detected: congestion_frac ≥ 30%
MISO Congestion 2023-10-16,congestion,2023-10-16,2023-10-27,2023-10-09,2023-11-03,['MISO'],Algo-detected: congestion_frac ≥ 30%
MISO LMP Spike 2023-11-01,lmp_spike,2023-11-01,2023-11-03,2023-10-18,2023-11-17,['MISO'],Algo-detected: lmp_max ≥ 478 $/MWh
MISO Congestion 2023-11-01,congestion,2023-11-01,2023-11-17,2023-10-25,2023-11-24,['MISO'],Algo-detected: congestion_frac ≥ 30%
ERCOT Congestion 2023-11-05,congestion,2023-11-05,2023-11-24,2023-10-29,2023-12-01,['ERCOT'],Algo-detected: congestion_frac ≥ 30%
ERCOT Congestion 2023-11-26,congestion,2023-11-26,2023-12-25,2023-11-19,2024-01-01,['ERCOT'],Algo-detected: congestion_frac ≥ 30%
MISO Congestion 2023-12-04,congestion,2023-12-04,2023-12-15,2023-11-27,2023-12-22,['MISO'],Algo-detected: congestion_frac ≥ 30%
ERCOT Congestion 2024-01-06,congestion,2024-01-06,2024-01-25,2023-12-30,2024-02-01,['ERCOT'],Algo-detected: congestion_frac ≥ 30%
ERCOT Congestion 2024-01-30,congestion,2024-01-30,2024-05-16,2024-01-23,2024-05-23,['ERCOT'],Algo-detected: congestion_frac ≥ 30%
CAISO Congestion 2024-02-08,congestion,2024-02-08,2024-02-18,2024-02-01,2024-02-25,['CAISO'],Algo-detected: congestion_frac ≥ 30%
MISO Congestion 2024-02-12,congestion,2024-02-12,2024-02-28,2024-02-05,2024-03-06,['MISO'],Algo-detected: congestion_frac ≥ 30%
CAISO Congestion 2024-03-01,congestion,2024-03-01,2024-03-30,2024-02-23,2024-04-06,['CAISO'],Algo-detected: congestion_frac ≥ 30%
MISO Congestion 2024-03-10,congestion,2024-03-10,2024-03-30,2024-03-03,2024-04-06,['MISO'],Algo-detected: congestion_frac ≥ 30%
MISO Congestion 2024-04-01,congestion,2024-04-01,2024-04-29,2024-03-25,2024-05-06,['MISO'],Algo-detected: congestion_frac ≥ 30%
CAISO Congestion 2024-04-01,congestion,2024-04-01,2024-04-29,2024-03-25,2024-05-06,['CAISO'],Algo-detected: congestion_frac ≥ 30%
MISO Congestion 2024-05-01,congestion,2024-05-01,2024-05-13,2024-04-24,2024-05-20,['MISO'],Algo-detected: congestion_frac ≥ 30%
CAISO Congestion 2024-05-01,congestion,2024-05-01,2024-05-17,2024-04-24,2024-05-24,['CAISO'],Algo-detected: congestion_frac ≥ 30%
