ticker,quarter_end,availability_date,metric_value,metric_unit,disclosure_type,segment_scope,source_url,notes
FLNC,2022-12-31,2023-02-10,2700000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001868941/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
FLNC,2023-03-31,2023-05-11,2800000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001868941/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
FLNC,2023-06-30,2023-08-10,2900000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001868941/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
FLNC,2023-09-30,2023-11-29,2900000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001868941/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
FLNC,2023-12-31,2024-02-08,3700000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001868941/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
FLNC,2024-03-31,2024-05-09,3700000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001868941/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
FLNC,2024-06-30,2024-08-07,4500000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001868941/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
FLNC,2024-09-30,2024-11-29,4500000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001868941/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
FLNC,2024-12-31,2025-02-10,5100000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001868941/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
FLNC,2025-03-31,2025-05-08,4900000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001868941/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
FLNC,2025-06-30,2025-08-11,4900000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001868941/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
FLNC,2025-09-30,2025-11-25,5300000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001868941/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
FLNC,2025-12-31,2026-02-04,5500000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001868941/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
FLNC,2026-03-31,2026-05-06,5600000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001868941/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
FLNC,2026-06-30,2026-08-05,6400000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001868941/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
GEV,2024-03-31,2024-04-30,116293000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001996810/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
GEV,2024-06-30,2024-07-24,115476000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001996810/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
GEV,2024-09-30,2024-10-23,117746000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001996810/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
GEV,2024-12-31,2025-02-06,119023000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001996810/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
GEV,2025-03-31,2025-04-23,123438000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001996810/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
GEV,2025-06-30,2025-07-23,128650000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001996810/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
GEV,2025-09-30,2025-10-22,135269000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001996810/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
GEV,2025-12-31,2026-01-29,150238000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001996810/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
GEV,2026-03-31,2026-04-22,163276000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001996810/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
GEV,2026-06-30,2026-07-22,176284000000,USD,xbrl_rpo,total,https://data.sec.gov/api/xbrl/companyconcept/CIK0001996810/us-gaap/RevenueRemainingPerformanceObligation.json,xbrl companyconcept RPO
HUBB,2022-12-31,2023-02-09,2463.4,USD_million,nongaap_backlog_total,total,https://www.sec.gov/Archives/edgar/data/48898/000162828023002875/hubb-20221231.htm,10-K Item 1 'backlog of orders believed to be firm'; annual disclosure only
HUBB,2023-12-31,2024-02-08,2328,USD_million,nongaap_backlog_total,total,https://www.sec.gov/Archives/edgar/data/48898/000162828024003792/hubb-20231231.htm,10-K Item 1 'backlog of orders believed to be firm'; annual disclosure only
HUBB,2024-12-31,2025-02-13,1898,USD_million,nongaap_backlog_total,total,https://www.sec.gov/Archives/edgar/data/48898/000162828025005311/hubb-20241231.htm,10-K Item 1 'backlog of orders believed to be firm'; annual disclosure only
HUBB,2025-12-31,2026-02-12,2159,USD_million,nongaap_backlog_total,total,https://www.sec.gov/Archives/edgar/data/48898/000162828026007500/hubb-20251231.htm,10-K Item 1 'backlog of orders believed to be firm'; annual disclosure only
